date,fighter1,fighter2,fighter1_odds,fighter2_odds
"January 12, 2025",Amanda Ribas,Mackenzie Dern,-194,+162
"January 12, 2025",Carlston Harris,Santiago Ponzinibbio,+130,-154
"January 12, 2025",Abdul Razak Alhassan,Cesar Almeida,+215,-260
"January 12, 2025",Chris Curtis,Roman Kopylov,+198,-240
"January 12, 2025",Austin Bashi,Christian Rodriguez,-260,+215
"January 12, 2025",Punahele Soriano,Uros Medic,+198,-240
"January 18, 2025",Islam Makhachev,Renato Moicano,-1200,+750
"January 18, 2025",Arman Tsarukyan,Islam Makhachev,+275,-350
"January 18, 2025",Merab Dvalishvili,Umar Nurmagomedov,+220,-270
"January 18, 2025",Jailton Almeida,Serghei Spivac,-450,+350
"January 18, 2025",Beneil Dariush,Renato Moicano,+135,-165
"January 18, 2025",Kevin Holland,Reinier de Ridder,+116,-136
"January 18, 2025",Payton Talbott,Raoni Barcelos,-1200,+750
"January 18, 2025",Azamat Bekoev,Zachary Reese,-184,+154
"January 18, 2025",Billy Elekana,Bogdan Guskov,+330,-420
"January 18, 2025",Sedriques Dumas,Zachary Reese,+220,-275
"January 18, 2025",Diego Ferreira,Grant Dawson,+200,-245
"January 18, 2025",Ailin Perez,Karol Rosa,+205,-245
"January 18, 2025",Muin Gafurov,Rinya Nakamura,+530,-750
"January 18, 2025",Jamahal Hill,Jiri Prochazka,-120,+102
"February 1, 2025",Israel Adesanya,Nassourdine Imavov,-158,+134
"February 1, 2025",Michael Page,Shara Magomedov,+164,-196
"February 1, 2025",Jairzinho Rozenstruik,Sergei Pavlovich,+260,-320
"February 1, 2025",Said Nurmagomedov,Vinicius Oliveira,-225,+188
"February 1, 2025",Fares Ziam,Mike Davis,+122,-144
"February 1, 2025",Andre Muniz,Ikram Aliskerov,+475,-650
"February 1, 2025",Abdul-Kareem Al-Selwady,Jordan Leavitt,-250,+200
"February 1, 2025",Kaan Ofli,Muhammad Naimov,+310,-390
"February 1, 2025",Shamil Gaziev,Thomas Petersen,-340,+275
"February 1, 2025",Damir Hadzovic,Terrance McKinney,+430,-590
"February 1, 2025",Jasmine Jasudavicius,Mayra Bueno Silva,-250,+205
"February 1, 2025",Bogdan Grad,Lucas Alexander,+108,-126
"February 1, 2025",Hamdy Abdelwahab,Jamal Pogues,-148,+126
"February 1, 2025",Abdul-Kareem Al-Selwady,Bolaji Oki,+150,-185
"February 16, 2025",Gregory Rodrigues,Jared Cannonier,-240,+194
"February 16, 2025",Calvin Kattar,Youssef Zalal,+350,-450
"February 16, 2025",Dylan Budka,Edmen Shahbazyan,+520,-720
"February 16, 2025",Ismael Bonfim,Nazim Sadykhov,-245,+200
"February 16, 2025",Andre Petroski,Rodolfo Vieira,+220,-270
"February 23, 2025",Henry Cejudo,Song Yadong,+210,-255
"February 23, 2025",Anthony Hernandez,Brendan Allen,-335,+270
"February 23, 2025",Jean Matsumoto,Rob Font,-200,+168
"February 23, 2025",Jean Silva,Melsik Baghdasaryan,-490,+380
"February 23, 2025",Alonzo Menifield,Julius Walker,-235,+194
"February 23, 2025",Ibo Aslan,Ion Cutelaba,-215,+180
"February 23, 2025",Andre Fili,Melquizael Costa,+120,-142
"February 23, 2025",Mansur Abdul-Malik,Nick Klein,-1350,+810
"February 23, 2025",Javid Basharat,Ricky Simon,-260,+215
"February 23, 2025",Austin Vanderford,Nikolay Veretennikov,+102,-120
"March 2, 2025",Asu Almabaev,Manel Kape,+184,-220
"March 2, 2025",Cody Brundage,Julian Marquez,-116,-102
"March 2, 2025",Esteban Ribovics,Nasrat Haqparast,-260,+215
"March 2, 2025",Hyder Amil,William Gomis,+176,-210
"March 2, 2025",Danny Barlow,Sam Patterson,-245,+200
"February 9, 2025",Dricus Du Plessis,Sean Strickland,-220,+184
"February 9, 2025",Tatiana Suarez,Zhang Weili,-146,+124
"February 9, 2025",Justin Tafa,Tallison Teixeira,+132,-156
"February 9, 2025",Francisco Prado,Jake Matthews,+200,-245
"February 9, 2025",Jim Crute,Rodolfo Bellato,+124,-146
"February 9, 2025",Gabriel Santos,Jack Jenkins,-225,+188
"February 9, 2025",Tom Nolan,Viacheslav Borshchev,-102,-116
"February 9, 2025",Bruna Brasil,Cong Wang,+275,-350
"February 9, 2025",Aleksandre Topuria,Colby Thicknesse,-330,+265
"February 9, 2025",Kody Steele,Rongzhu,-350,+280
"February 9, 2025",Jonathan Micallef,Kevin Jousset,+180,-215
"October 4, 2025",Alex Pereira,Magomed Ankalaev,+205,-250
"October 4, 2025",Cory Sandhagen,Merab Dvalishvili,+330,-420
"October 4, 2025",Jiri Prochazka,Khalil Rountree Jr.,-194,+162
"October 4, 2025",Josh Emmett,Youssef Zalal,+360,-460
"October 4, 2025",Abus Magomedov,Joe Pfyer,+172,-205
"October 4, 2025",Ateba Gautier,Ozzy Diaz,-1000,+650
"October 4, 2025",Ateba Gautier,Treston Vines,-1800,+980
"October 4, 2025",Daniel Santos,Joosang Yoo,-134,+114
"October 4, 2025",Jakub Wiklacz,Patchy Mix,+280,-350
"October 4, 2025",Andre Muniz,Edmen Shahbazyan,+260,-320
"March 16, 2025",Marvin Vettori,Roman Dolidze,-154,+130
"March 16, 2025",Chidi Njokuani,Elizeu Zaleski Dos Santos,+164,-196
"March 16, 2025",Alexander Hernandez,Kurt Holobaugh,-200,+168
"March 16, 2025",Cody Gibson,Da'mon Blackshear,+350,-450
"March 22, 2025",Leon Edwards,Sean Brady,+112,-132
"March 22, 2025",Carlos Ulberg,Jan Blachowicz,-330,+265
"March 22, 2025",Gunnar Nelson,Kevin Holland,-126,+108
"March 22, 2025",Alexia Thainara,Molly McCann,-225,+188
"March 22, 2025",Chris Duncan,Jordan Vucenic,+265,-330
"March 22, 2025",Morgan Charriere,Nathaniel Wood,-116,-102
"March 22, 2025",Chris Padilla,Jai Herbert,+110,-130
"March 22, 2025",Felipe Dos Santos,Lone'er Kavanagh,+210,-255
"March 22, 2025",Marcin Tybura,Mick Parkin,+142,-168
"March 22, 2025",Jack Della Maddalena,Leon Edwards,-145,+120
"March 22, 2025",Andrey Pulyaev,Christian Leroy Duncan,+320,-405
"March 22, 2025",Puja Tomar,Shauna Bannon,+176,-210
"March 22, 2025",Caolan Loughran,Nathan Fletcher,+132,-156
"March 22, 2025",Guram Kutateladze,Kaua Fernandes,-350,+280
"March 30, 2025",Brandon Moreno,Steve Erceg,-230,+190
"March 30, 2025",Drew Dober,Manuel Torres,+106,-124
"March 30, 2025",Joe Pfyer,Kelvin Gastelum,-270,+220
"March 30, 2025",Cj Vergara,Edgar Chairez,+220,-270
"March 30, 2025",Raul Rosas Jr,Vince Morales,-480,+370
"April 6, 2025",Josh Emmett,Lerone Murphy,+260,-320
"April 6, 2025",Joanderson Brito,Pat Sabatini,-205,+172
"April 6, 2025",Chang Ho Lee,Cortavious Romious,-152,+128
"April 6, 2025",Brad Tavares,Gerald Meerschaert,-166,+140
"April 6, 2025",Luis Gurule,Ode Osbourne,-255,+210
"April 6, 2025",Robert Valentin Frey,Torrez Finney,+250,-310
"April 6, 2025",Diana Belbita,Dione Barbosa,+730,-1150
"April 6, 2025",Daniel Frunza,Rhys McKee,-122,+104
"February 1, 2026",Alexander Volkanovski,Diego Lopes,-178,+138
"June 21, 2025",Jamahal Hill,Khalil Rountree,-118,+100
"June 21, 2025",Ignacio Bahamondes,Rafael Fiziev,-144,+124
"June 21, 2025",Curtis Blaydes,Rizvan Kuniev,-240,+198
"June 21, 2025",Myktybek Orolbai,Tofiq Musayev,-186,+156
"June 21, 2025",Nazim Sadykhov,Nikolas Motta,-420,+330
"June 21, 2025",Bogdan Grad,Muhammad Naimov,+205,-250
"June 21, 2025",Oban Elliott,Seokhyeon Ko,-480,+370
"June 21, 2025",Ismail Naurdiev,Jun Yong Park,+160,-190
"June 21, 2025",Daria Zhelezniakova,Melissa Mullins,+205,-250
"June 21, 2025",Irina Alekseeva,Klaudia Sygula,-245,+200
"June 21, 2025",Azat Maksum,Tagir Ulanbekov,+385,-500
"June 21, 2025",Hamdy Abdelwahab,Mohammed Usman,-168,+142
"May 11, 2025",Belal Muhammad,Jack Della Maddalena,-198,+166
"May 11, 2025",Manon Fiorot,Valentina Shevchenko,-134,+116
"May 11, 2025",Aiemann Zahabi,Jose Aldo,+160,-190
"May 11, 2025",Alexa Grasso,Natalia Silva,+194,-235
"May 11, 2025",Benoit Saint-Denis,Kyle Prepolec,-1400,+830
"May 11, 2025",Charles Radtke,Mike Malott,+168,-200
"May 11, 2025",Jasmine Jasudavicius,Jessica Andrade,-275,+225
"May 11, 2025",Ion Cutelaba,Modestas Bukauskas,-110,-106
"May 11, 2025",Ivan Erslan,Navajo Stirling,+265,-330
"May 4, 2025",Cory Sandhagen,Deiveson Figueiredo,-520,+400
"May 4, 2025",Bo Nickal,Reinier de Ridder,-370,+295
"May 4, 2025",Daniel Rodriguez,Santiago Ponzinibbio,+118,-138
"May 4, 2025",Daniel Marcos,Montel Jackson,+188,-225
"May 4, 2025",Cameron Smotherman,Serhiy Sidey,+118,-138
"May 4, 2025",Jeremy Stephens,Mason Jones,+460,-620
"May 4, 2025",Miesha Tate,Yana Santos,-152,+128
"May 4, 2025",Azamat Bekoev,Ryan Loder,-330,+265
"May 4, 2025",Gillian Robertson,Marina Rodriguez,-270,+220
"May 4, 2025",Gaston Bolanos,Quang Le,-126,+108
"April 27, 2025",Carlos Prates,Ian Machado Garry,+138,-164
"April 27, 2025",Anthony Smith,Zhang Mingyang,+295,-370
"April 27, 2025",David Onama,Giga Chikadze,-198,+166
"April 27, 2025",Abus Magomedov,Michel Pereira,+120,-142
"April 27, 2025",Nicolas Dalby,Randy Brown,+260,-320
"April 27, 2025",Andre Muniz,Ikram Aliskerov,+340,-430
"April 27, 2025",Jimmy Flick,Matt Schnell,+138,-164
"April 27, 2025",Evan Elder,Gauge Young,-215,+180
"April 27, 2025",Chris Gutierrez,John Castaneda,-148,+126
"April 27, 2025",Damon Blackshear,Heili Alateng,-500,+350
"April 27, 2025",Alatengheili Alateng,Da'mon Blackshear,+385,-500
"May 18, 2025",Gilbert Burns,Michael Morales,+370,-480
"May 18, 2025",Paul Craig,Rodolfo Bellato,+315,-400
"May 18, 2025",Mairon Santos,Sodiq Yusuff,-148,+126
"June 15, 2025",Joaquin Buckley,Kamaru Usman,-220,+184
"June 15, 2025",Miranda Maverick,Rose Namajunas,+200,-245
"June 15, 2025",Andre Petroski,Edmen Shahbazyan,+142,-168
"June 15, 2025",Cody Garbrandt,Raoni Barcelos,+210,-255
"June 15, 2025",Cody Brundage,Mansur Abdul-Malik,+640,-950
"June 15, 2025",Alonzo Menifield,Oumar Sy,+490,-670
"June 15, 2025",Paul Craig,Rodolfo Bellato,+290,-360
"June 15, 2025",Court McGee,Michael Chiesa,+270,-335
"June 15, 2025",Kris Moutinho,Malcolm Wellmaker,+980,-1800
"June 15, 2025",Cody Durden,Jose Ochoa,+172,-205
"June 15, 2025",Cameron Smotherman,Ricky Simon,+310,-390
"June 8, 2025",Merab Dvalishvili,Sean O'Malley,-250,+205
"June 8, 2025",Julianna Pena,Kayla Harrison,+500,-700
"June 8, 2025",Joe Pyfer,Kelvin Gastelum,-390,+310
"June 8, 2025",Mario Bautista,Patrick Mix,+146,-174
"June 8, 2025",Kevin Holland,Vicente Luque,-180,+152
"June 8, 2025",Bruno Silva,Joshua van,+520,-720
"June 8, 2025",Azamat Murzakanov,Brendson Ribeiro,-620,+460
"June 8, 2025",Serghei Spivac,Waldo Cortes-Acosta,-168,+142
"June 8, 2025",Andreas Gustafsson,Khaos Williams,+158,-188
"June 29, 2025",Charles Oliveira,Ilia Topuria,+320,-405
"June 29, 2025",Alexandre Pantoja,Kai Kara-France,-250,+205
"June 29, 2025",Felipe Lima,Payton Talbott,-174,+146
"June 29, 2025",Beneil Dariush,Renato Moicano,-112,-104
"June 29, 2025",Brandon Royval,Joshua van,+102,-120
"June 29, 2025",Hyder Amil,Jose Delgado,+116,-136
"June 29, 2025",Gregory Rodrigues,Jack Hermansson,-205,+172
"June 29, 2025",Terrance McKinney,Viacheslav Borshchev,-172,+144
"June 29, 2025",Tracy Cortez,Viviane Araujo,-210,+176
"July 20, 2025",Dustin Poirier,Max Holloway,-104,-122
"July 20, 2025",Adam Fugitt,Islam Dulatov,+320,-460
"July 20, 2025",Brendan Allen,Marvin Vettori,-265,+200
"July 20, 2025",Gunnar Nelson,Neil Magny,-350,+255
"August 2, 2025",Hyun Sung Park,Tatsuro Taira,+270,-335
"August 2, 2025",Chris Duncan,Mateusz Rebecki,+198,-240
"August 2, 2025",Elves Brener,Esteban Ribovics,+215,-260
"August 2, 2025",Karol Rosa,Nora Cornolle,-158,+132
"August 2, 2025",Elizeu Zaleski,Neil Magny,-158,+134
"August 2, 2025",Danny Silva,Kevin Vallejos,+300,-375
"August 2, 2025",Andrey Pulyaev,Nick Klein,-126,+108
"August 2, 2025",Austin Bashi,John Yannis,-1150,+730
"August 2, 2025",Felipe Bunes,Rafael Estevam,+490,-670
"August 2, 2025",Ketlen Souza,Piera Rodriguez,+210,-255
"August 2, 2025",Amir Albazi,Tatsuro Taira,+220,-275
"August 9, 2025",Anthony Hernandez,Roman Dolideze,-330,+265
"August 9, 2025",Ode Osbourne,Steve Erceg,+440,-590
"August 9, 2025",Angela Hill,Iasmin Lucindo,+144,-172
"August 9, 2025",Andre Fili,Christian Rodriguez,+205,-250
"August 9, 2025",Jean Matsumoto,Miles Johns,-260,+215
"August 9, 2025",Christian Leroy Duncan,Eryk Anders,-490,+380
"August 9, 2025",Julius Walker,Raffael Cerqueira,-750,+530
"August 9, 2025",Elijah Smith,Toshiomi Kazama,-820,+570
"August 9, 2025",Joselyne Edwards,Priscila Cachoeira,-420,+330
"August 9, 2025",Gilbert Urbina,Uros Medic,+270,-335
"August 9, 2025",Gabriella Fernandes,Julija Stoliarenko,-450,+350
"August 9, 2025",Cody Brundage,Eric McConico,-230,+190
"September 6, 2025",Caio Borralho,Nassourdine Imavov,-132,+112
"September 6, 2025",Benoit Saint-Denis,Mauricio Ruffy,+146,-174
"September 6, 2025",Modestas Bukauskas,Paul Craig,-335,+270
"September 6, 2025",Bolaji Oki,Mason Jones,+126,-148
"September 6, 2025",Axel Sola,Rhys McKee,-136,+116
"September 6, 2025",Robert Ruchala,William Gomis,+220,-270
"September 6, 2025",Brendson Ribeiro,Oumar Sy,+420,-560
"September 6, 2025",Ante Delija,Marcin Tybura,-102,-116
"September 6, 2025",Harry Hardwick,Kaue Fernandes,+176,-210
"September 6, 2025",Sam Patterson,Trey Waters,-194,+162
"September 6, 2025",Brad Tavares,Robert Bryczek,-200,+168
"September 6, 2025",Andreas Gustafsson,Rinat Fakhretdinov,-132,+112
"September 6, 2025",Sam Hughes,Shauna Bannon,-275,+225
"September 6, 2025",Fares Ziam,Kaue Fernandes,-350,+275
"September 14, 2025",Diego Lopes,Jean Silva,+176,-210
"September 14, 2025",David Martinez,Rob Font,+108,-130
"September 14, 2025",Rafa Garcia,Jared Gordon,-130,130
"September 14, 2025",Kelvin Gastelum,Dustin Stoltzfus,-130,130
"September 28, 2025",Carlos Ulberg,Dominick Reyes,-245,+200
"September 28, 2025",Ivan Erslan,Jimmy Crute,+194,-235
"September 28, 2025",Jack Jenkins,Ramon Taveras,-300,+245
"September 28, 2025",Jake Matthews,Neil Magny,-320,+260
"September 28, 2025",Charlie Campbell,Tom Nolan,+134,-158
"September 28, 2025",Navajo Stirling,Rodolfo Bellato,-270,+220
"September 28, 2025",Andre Petroski,Cam Rowston,-174,+146
"September 28, 2025",Jonathan Micallef,Oban Elliott,+105,-125
"September 28, 2025",Jamie Mullarkey,Rolando Bedoya,-134,+114
"September 28, 2025",Colby Thicknesse,Josias Musasa,+134,-158
"September 28, 2025",Luana Carolina,Michelle Montague,+176,-210
"October 12, 2025",Charles Oliveira,Mateusz Gamrot,-108,-108
"October 12, 2025",Deiveson Figueiredo,Montel Jackson,+265,-330
"October 12, 2025",Joel Alvarez,Vicente Luque,-650,+410
"October 18, 2025",Brendan Allen,Reinier de Ridder,+184,-220
"October 18, 2025",Kevin Holland,Mike Malott,-110,-106
"October 18, 2025",Aiemann Zahabi,Marlon Vera,-132,+112
"October 18, 2025",Jasmine Jasudavicius,Manon Fiorot,+190,-230
"October 18, 2025",Charles Jourdain,Davey Grant,-190,+160
"October 18, 2025",Kyle Nelson,Matt Frevola,-132,+112
"October 18, 2025",Drew Dober,Kyle Prepolec,-330,+265
"October 18, 2025",Aoriqileng,Cody Gibson,+160,-190
"October 18, 2025",Cody Gibson,Qileng Aori,-182,+145
"October 18, 2025",Bruno Silva,Hyunsung Park,+188,-225
"October 18, 2025",Danny Barlow,Djorden Santos,-250,+205
"October 18, 2025",Ravena Oliveira,Stephanie Luciano,+265,-330
"October 18, 2025",Azamat Bekoev,Yousri Belgaroui,-295,+240
"October 18, 2025",Melissa Croden,Tainara Lisboa,-132,+112
"October 25, 2025",Ciryl Gane,Tom Aspinall,+315,-400
"October 25, 2025",Mackenzie Dern,Virna Jandiroba,-134,+114
"October 25, 2025",Mario Bautista,Umar Nurmagomedov,+460,-620
"October 25, 2025",Alexander Volkov,Jailton Almeida,+166,-198
"October 25, 2025",Aleksandar Rakic,Azamat Murzakanov,-118,+100
"October 25, 2025",Nasrat Haqparast,Quillan Salkilld,+102,-120
"October 25, 2025",Ikram Aliskerov,Junyong Park,-230,+190
"October 25, 2025",Ludovit Klein,Mateusz Rebecki,-126,+108
"October 25, 2025",Louie Sutherland,Valter Walker,+320,-405
"October 25, 2025",Jose Delgado,Nathaniel Wood,-162,+136
"October 25, 2025",Chris Barnett,Hamdy Abdelwahab,+340,-430
"October 25, 2025",Azat Maksum,Mitch Raposo,-500,+385
"October 25, 2025",Jaqueline Amorim,Mizuki Inoue,-490,+380
"November 1, 2025",David Onama,Steve Garcia,+118,-138
"November 1, 2025",Ante Delija,Waldo Cortes-Acosta,-130,+110
"November 1, 2025",Jeremiah Wells,Themba Gorimbo,+132,-166
"November 1, 2025",Isaac Dulgarian,Yadier Del Valle,-146,+124
"November 1, 2025",Charles Radtke,Daniel Frunza,-172,+144
"November 1, 2025",Allan Nascimento,Cody Durden,-310,+250
"November 1, 2025",Billy Elekana,Kevin Christian,-270,+220
"November 1, 2025",Chang Ho Lee,Timmy Cuamba,-108,-108
"November 1, 2025",Donte Johnson,Sedriques Dumas,-350,+280
"November 1, 2025",Ketlen Vieira,Norma Dumont,+146,-174
"November 1, 2025",Alice Ardelean,Montserrat Ruiz,-360,+290
"November 1, 2025",Phil Rowe,Seokhyeon Ko,+152,-180
"November 1, 2025",Ariane Carnelossi,Talita Alencar,+188,-225
"November 9, 2025",Gabriel Bonfim,Randy Brown,-164,+138
"November 9, 2025",Joseph Morales,Matt Schnell,-490,+380
"November 9, 2025",Muslim Salikhov,Uros Medic,+110,-130
"November 9, 2025",Chris Padilla,Ismael Bonfim,-118,+100
"November 9, 2025",Christian Leroy Duncan,Marco Tulio,+140,-166
"November 15, 2025",Islam Makhachev,Jack Della Maddalena,-320,+260
"November 15, 2025",Valentina Shevchenko,Zhang Weili,-142,+120
"November 15, 2025",Michael Morales,Sean Brady,+128,-152
"November 15, 2025",Carlos Prates,Leon Edwards,-154,+130
"November 15, 2025",Beneil Dariush,Benoit Saint-Denis,+160,-190
"November 15, 2025",Bo Nickal,Rodolfo Vieira,-245,+200
"November 15, 2025",Gregory Rodrigues,Roman Kopylov,-196,+164
"November 15, 2025",Erin Blanchfield,Tracy Cortez,-330,+265
"November 15, 2025",Ethyn Ewing,Malcolm Wellmaker,+330,-420
"November 15, 2025",Gerald Meerschaert,Kyle Daukaus,+370,-480
"November 15, 2025",Chepe Mariscal,Pat Sabbatini,-102,-116
"November 15, 2025",Angela Hill,Fatima Kline,+440,-590
"November 22, 2025",Arman Tsarukyan,Dan Hooker,-750,+530
"November 22, 2025",Belal Muhammad,Ian Machado Garry,+235,-290
"November 22, 2025",Alonzo Menifield,Volkan Oezdemir,+190,-230
"November 22, 2025",Jack Hermansson,Myktybek Orolbai,+166,-198
"November 22, 2025",Shamil Gaziev,Waldo Cortes-Acosta,+126,-148
"November 22, 2025",Kyoji Horiguchi,Tagir Ulanbekov,+194,-235
"November 22, 2025",Bogdan Grad,Luke Riley,+205,-250
"November 22, 2025",Nicolas Dalby,Saygid Izagakhmaev,+270,-335
"November 22, 2025",Alex Perez,Asu Almabayev,+172,-205
"November 22, 2025",Abdulrakhman Yakhyaev,Rafael Cerqueira,-1600,+900
"November 22, 2025",Nurullo Aliev,Shem Rock,-320,+260
"November 22, 2025",Aleksandre Topuria,Bekzat Almakhan,-138,+118
"November 22, 2025",Ismail Naurdiev,Ryan Loder,-124,+106
"November 22, 2025",Denzel Freeman,Marek Bujlo,-230,+190
"December 7, 2025",Merab Dvalishvili,Petr Yan,-375,+300
"December 7, 2025",Alexandre Pantoja,Joshua van,-210,+176
"December 7, 2025",Brandon Moreno,Tatsuro Taira,-102,-116
"December 7, 2025",Henry Cejudo,Payton Talbott,+205,-250
"December 7, 2025",Bogdan Guskov,Jan Blachowicz,-126,+108
"December 7, 2025",Grant Dawson,Manuel Torres,-270,+220
"December 7, 2025",Chris Duncan,Terrance McKinney,-126,+108
"December 7, 2025",Karine Silva,Maycee Barber,+184,-220
"December 7, 2025",Fares Ziam,Nazim Sadykhov,-188,+158
"December 7, 2025",Brunno Ferreira,Marvin Vettori,+108,-130
"December 7, 2025",Edson Barboza,Jalin Turner,+360,-460
"December 7, 2025",Ibo Aslan,Iwo Baraniewski,+180,-215
"December 14, 2025",Brandon Royval,Manel Kape,+230,-310
"December 14, 2025",Giga Chikadze,Kevin Vallejos,+235,-320
"December 14, 2025",Cesar Almeida,Cezary Oleksiejczuk,+176,-230
"December 14, 2025",Melquizael Costa,Morgan Charriere,-111,-115
"December 14, 2025",Kennedy Nzechukwu,Marcus Buchecha,-140,+110
"December 14, 2025",Bobby Green,Lance Gibson Jr,-245,+186
"December 14, 2025",Amanda Lemos,Gillian Robertson,+158,-205
"December 14, 2025",Isaac Thomson,Joanderson Brito,+186,-245
"December 14, 2025",Neil Magny,Yaroslav Amosov,+300,-430
"December 14, 2025",Sean Sharaf,Steven Asplund,+190,-250
"December 14, 2025",Luana Santos,Melissa Croden,-140,+110
"December 14, 2025",Allen Frye,Guilherme Pat,+142,-184
"December 14, 2025",Jamey-Lyn Horth,Tereza Bleda,+122,-156
"January 18, 2025",Benardo Sopaj,Ricky Turcios,-295,+240
"January 18, 2025",Clayton Carpenter,Tagir Ulanbekov,+310,-390
"March 8, 2025",Djorden Santos,Ozzy Diaz,-198,+166
"March 8, 2025",Rafael Fiziev,Justin Gaethje,-160,135
"March 8, 2025",King Green,Mauricio Ruffy,400,-550
"March 8, 2025",Rei Tsuruya,Josh Van,400,-550
"May 10, 2025",Bruno Silva,Marc Andre Barriault,+136,-162
"May 10, 2025",Daniel Santos,Jeong Yeong Lee,+114,-134
"May 10, 2025",Bekzat Almakhan,Brad Katona,-142,+120
"June 7, 2025",Ariane da Silva,Wang Cong,+460,-650
"June 7, 2025",Ariane Lipski,Cong Wang,+430,-590
"June 7, 2025",Jeka Saragih,Joo Sang Yoo,+420,-560
"June 7, 2025",Quillan Salkilld,Yanal Ashmouz,-420,+330
"June 7, 2025",Mark Choinski,Marquel Mederos,+130,-154
"August 16, 2025",Drakkar Klose,Edson Barboza,-104,-112
"August 16, 2025",Dione Barbosa,Karine Silva,+168,-200
"August 16, 2025",Alibi Idiris,Joseph Morales,-500,+385
"August 16, 2025",Khamzat Chimaev,Dricus Du Plessis,-500,+385
"August 16, 2025",Geoff Neal,Carlos Prates,200,-200
"August 16, 2025",Jared Cannonier,Michael Page,160,-185
"December 6, 2025",Antonio Trocoli,Mansur Abdul-Malik,+980,-1800
"December 6, 2025",Mairon Santos,Muhammad Naimov,-245,+200
